order_id,customer_id,product_id,order_date,quantity,unit_price,payment_status
ORD011,CUST009,PROD101,2024-01-15,1,29.99,paid
ORD012,CUST010,PROD107,2024-01-15,2,59.99,paid
ORD013,CUST011,PROD102,2024-01-15,1,49.99,failed
ORD014,CUST009,PROD103,2024-01-15,3,9.99,paid
ORD015,CUST012,PROD108,2024-01-15,1,79.99,pending
ORD011,CUST009,PROD101,2024-01-15,1,29.99,paid
ORD016,CUST013,PROD104,2024-01-15,-1,14.99,paid
ORD017,,PROD105,2024-01-15,2,99.99,paid
ORD018,CUST014,PROD106,2024-01-15,1,invalid_price,paid
ORD019,CUST015,PROD101,2024-01-15,2,29.99,unknown_status
